"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-201681","TCF dependent signaling in response to WNT","44/1288","231/10616",0.00145905561350534,0.0311578972948559,0.0265057641163109,"PSME2/PSMB8/PSMB9/H4C4/PSME1/H4C5/H4C13/H3C11/TLE4/H2AZ2/H2AC4/PSMF1/H4C8/H3-3B/H4C2/H4C3/LRP6/H2BC21/PSMB10/H3C1/H3C2/PSMA5/PSMA3/H2AC14/H3C7/PSMA6/CHD8/SOX9/AMER1/RNF43/H2BC14/DKK1/PSMA4/H2BC10/TNKS2/CDC73/H2BC9/CUL3/AXIN2/PSMA2/TCF7L2/PPP2R1A/WNT4/SFRP1",44
"R-HSA-6803211","TP53 Regulates Transcription of Death Receptors and Ligands","6/1288","12/10616",0.00152004454266369,0.0318664222459178,0.0271085004000096,"FAS/IGFBP3/TNFRSF10B/TNFRSF10D/TP53/TNFRSF10A",6
"R-HSA-69481","G2/M Checkpoints","34/1288","167/10616",0.00154471046628169,0.0318664222459178,0.0271085004000096,"PSME2/PSMB8/PSMB9/H4C4/PSME1/H4C5/H4C13/NBN/PSMF1/H4C8/CCNB2/H4C2/H4C3/RHNO1/H2BC21/BABAM1/PSMB10/MCM6/PSMA5/PSMA3/PSMA6/CDC25C/H2BC14/TP53/PSMA4/H2BC10/BARD1/H2BC9/ORC6/BRCA1/CDC7/MRE11/PSMA2/ATM",34
"R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand","7/1288","16/10616",0.00161030685116862,0.0318664222459178,0.0271085004000096,"TNFSF10/FAS/CFLAR/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",7
"R-HSA-1834941","STING mediated induction of host immune responses","7/1288","16/10616",0.00161030685116862,0.0318664222459178,0.0271085004000096,"TRIM21/IFI16/PRKDC/CGAS/MRE11/STAT6/XRCC5",7
"R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling","11/1288","34/10616",0.00161257574809403,0.0318664222459178,0.0271085004000096,"IFIH1/HERC5/DDX58/TNFAIP3/UBE2L6/UBA7/ISG15/NLRC5/CYLD/MAVS/TRIM25",11
"R-HSA-5625740","RHO GTPases activate PKNs","22/1288","94/10616",0.00163764185931337,0.0318858503195721,0.0271250277007013,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/MYH10/H2BC21/H3C1/MYL12A/H3C2/H2AC14/H3C7/CDC25C/H2BC14/H2BC10/H2BC9/PDPK1",22
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","21/1288","89/10616",0.00185651306714172,0.0356235260999368,0.0303046374041441,"PML/H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/CDK4/H2AC14/H3C7/H2BC14/H2BC10/H2BC9/STAT3",21
"R-HSA-8939211","ESR-mediated signaling","42/1288","222/10616",0.0021114575520328,0.0399367114127346,0.0339738282808285,"H4C4/H4C5/MOV10/BTC/JUN/H4C13/GATA3/H3C11/H2AZ2/H2AC4/AGO1/H4C8/CTSD/H3-3B/H4C2/GNG5/H4C3/KAT2B/EREG/H2BC21/POLR2B/H3C1/NR5A2/USF1/H3C2/H2AC14/H3C7/AREG/PIK3R3/GNB4/CXXC5/GPAM/H2BC14/ZDHHC7/H2BC10/YY1/AKT3/H2BC9/FOSB/PDPK1/SRC/NRIP1",42
"R-HSA-5250924","B-WICH complex positively regulates rRNA expression","21/1288","90/10616",0.00215098592667769,0.0401113431960741,0.0341223860866587,"H4C4/H4C5/SMARCA5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/KAT2B/H2BC21/H3C1/POLR1E/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",21
"R-HSA-73886","Chromosome Maintenance","24/1288","108/10616",0.00218842004002119,0.0402426129581675,0.0342340561816181,"H4C4/H4C5/SMARCA5/H4C13/CENPI/H2AZ2/H2AC4/H4C8/H4C2/H4C3/PRIM1/H2BC21/CENPA/HJURP/H2AC14/CENPW/POLA2/KNL1/CENPS/H2BC14/POLD4/H2BC10/RSF1/H2BC9",24
"R-HSA-1810476","RIP-mediated NFkB activation via ZBP1","7/1288","17/10616",0.00245337546355537,0.0444102077572547,0.0377793944190353,"TLR3/MYD88/NFKB2/NFKBIA/RELA/NFKB1/RIPK1",7
"R-HSA-1660662","Glycosphingolipid metabolism","13/1288","46/10616",0.00250195237325454,0.0444102077572547,0.0377793944190353,"GM2A/ESYT1/GLTP/SUMF2/STS/CTSA/CERK/B4GALNT1/HEXA/PSAP/GBA/SMPD1/UGCG",13
"R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway","9/1288","26/10616",0.00251568397416473,0.0444102077572547,0.0377793944190353,"TNFSF10/FAS/CFLAR/MAGED1/CASP3/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",9
"R-HSA-6804757","Regulation of TP53 Degradation","11/1288","36/10616",0.00269520823369364,0.0469533644922418,0.039942836704324,"MAPKAP1/MDM2/RICTOR/MTOR/CCNA2/TP53/AKT3/PDPK1/PPP2R1A/ATM/CCNG1",11
"R-HSA-75153","Apoptotic execution phase","14/1288","52/10616",0.00285452773500859,0.0490830483266412,0.0417545410315679,"CASP7/DSP/DFFA/H1-3/MAPT/CASP3/BIRC2/CDH1/H1-2/CASP8/H1-4/OCLN/PRKCQ/STK26",14
